lat,lon,custo,nome
-22.97358,-43.39681,247.0,JÓIA OLÍMPICA! Faça tudo a pé
-22.97952,-43.22022,500.0,"Apt. Rent for season, 3 Bedrooms in Leblon"
-22.91176,-43.18684,159.0,Aconchego da Lapa
-22.96766,-43.18674,343.0,Espaço e Arte
-23.00711,-43.48546,332.0,RECREIO DOS BAND COM INFRAESTRUTURA
-22.971942901611328,-43.19195175170898,588.0,"COPACABANA posto 4, best excerpt"
-22.98181,-43.19504,1300.0,Carnival 2019 - The best
-22.99442,-43.27044,238.0,Rio Forest Loft
-22.984785,-43.195496,343.0,New! Fantastique penthouse avec piscine / Ipanema
-22.9612,-43.16954,234.0,TOTAL RELAX - COPACABANA / LEME
-22.98670599874941,-43.19020863622427,311.0,Copacabana & Ipanema Beaches - Private Apartment
-22.9675,-43.18666,208.0,Comfort em Copacabana
-22.98632,-43.22936,4871.0,Amazing Huge Apartment in Leblon
-22.91825,-43.17872,343.0,Quarto com linda vista
-22.97542,-43.19857,493.0,Apto de 2 qtos com vista para Lagoa e  garagem
-22.98161,-43.22189,527.0,Luxury Accommodation in Hip Leblon
-22.91709,-43.18068,70.0,Beautiful room for students
-22.91984,-43.1865,134.0,Comfortable apart in Santa Teresa - Rio de Janeiro
-22.98069,-43.19277,175.0,5 min a pé - Praia de Copacabana e Metrô II
-22.98141,-43.20911,4531.0,Luxury Apartment - in Ipanema
-22.94265,-43.18768,280.0,"Fascinating Rio, on the hills!"
-22.91543,-43.18419,104.0,STUDIO RIO LAPA CARNIVAL
-22.98069,-43.19277,215.0,5 min a pé - Praia de Copacabana e Metrô I
-22.97406,-43.20676,748.0,Quintal do Rio 2 BR/garagem perto  Ipanema metro.
-22.96392,-43.17114,198.0,Apt Copacabana de frente para a praia 302
-22.96274,-43.16845,491.0,Apartamento a uma quadra da praia
-23.01493,-43.29445,3424.0,Cliffside - 134m2 loft with balcony + hotel areas
-23.01578,-43.29477,10843.0,Luxobrasil #RJ720 Mansão Joie Joá
-22.96362,-43.17071,320.0,Lovely studio 2 minutes from the beach!
-23.00909,-43.2876,16296.0,Magnificent View in Joá - RIO009
-22.9636294,-43.1722428,243.0,Leme aconchegante e charmoso
-22.9628335,-43.1699634,87.0,day use copacabana deixe malas tome belo banho
-22.96345,-43.17061,282.0,Ótimo studio c WiFi a 190m da Praia do Leme/RJ
-22.9636294,-43.1722428,405.0,Leme Beach Studio
-22.959729988435324,-43.17038802152421,343.0,Casinha no Morro da Babilônia - Leme
-22.96364,-43.1707,290.0,"No Leme, simplesmente aconchegante!"
-22.953221795460184,-43.16833004009056,180.0,Quarto Tropical
-23.00834,-43.28896,1485.0,Casa Joa - condomínio fechado com segurança
-22.96319,-43.1711,281.0,"Espaço exclusivo, 1 quadra da praia"
-22.94903,-43.16456,380.0,"Rio's safest neighborhood, Urca!"
-23.0019601065695,-43.276330126643565,14500.0,Mansão mar eventos e hospedagem
-22.9611,-43.16767,1153.0,Mnandi Rio
-22.96599,-43.1794,356.0,"Very Nice 2Br in Copacabana w. balcony, fast WiFi"
-22.97649,-43.19122,340.0,Beautiful Modern Decorated Studio in Copa
-22.98107,-43.19136,207.0,COPACABANA SEA BREEZE  -  RIO - 25  X Superhost
-22.98591,-43.20302,3136.0,Bright 6bed Penthouse Seconds from Beach
-22.96574,-43.17514,805.0,Extra large 4BD 3BT on the AtlanticAve. Copacabana
-22.9791,-43.19008,270.0,Djalma Ocean View Studio with Amazing Views
-23.00451,-43.30873,3324.0,Casanova Residence great for shoots and events
-22.981731,-43.190571,213.0,"Ocean view, block of the beach, Copacabana,Ipanema"
-23.00809,-43.29113,1233.0,Walk to Joatinga Beach / Pool / PedraDaGávea Views
-22.98169,-43.2028,676.0,Ipanema amazing 3 bedrooms apartment
-22.9824,-43.19593,286.0,Studio Apart  for rent in ipanema.
-22.9854,-43.19602,538.0,Apart-hotel em Ipanema com garagem e  camareira
-22.9172,-43.17812,178.0,37B&B - Santa Teresa Suite MOMA RIO
-22.98107,-43.19029,214.0,Modern Copacabana near Ipanema
-22.96493,-43.17796,405.0,Cozy place near Copacabana beach RJ
-22.98192,-43.19397,343.0,Espaçosa Casa  no Coração do Rio 290m4QT.8camas
-22.92742,-43.19464,128.0,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1"
-22.97766,-43.2311,343.0,❤Unique RIO | retreat w/ forest view in hot spot
